Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ths-greifswald.ttp-fhir-gw.gics.json	34896	-	0	0	0	0	0	0	33	69	0	0	0	0	0	0	0	2	0	0	186	294	0	0	0	0	8	0	2
fsh-generated/resources/ActivityDefinition-ConsentPolicy-example-1.json	1373	3	0	0	1	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	17	28	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-ConsentPolicy-example-2.json	1139	2	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-ConsentPolicy-example-3.json	1110	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	1	0	0
fsh-generated/resources/Bundle-AddConsent-response-example-1.json	24842	8	33	0	0	0	0	0	3	1183	0	0	0	0	0	0	0	0	0	0	122	681	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-AddConsentOptOut-response-example-1.json	3293	3	2	0	0	0	0	0	1	351	0	0	0	0	0	0	0	0	0	0	26	14	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-AllConsentsForDomain-response-example-1.json	24070	4	4	0	0	0	0	0	2	20	0	0	0	0	0	0	0	1	0	0	124	46	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-AllConsentsForPerson-response-example-1.json	29774	6	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	31	48	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-AllConsentsForTemplate-response-example-1.json	28675	6	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	28	32	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-AllPolicyStatesForPerson-response-example-1.json	39364	8	6	0	0	0	0	0	2	40	0	0	0	0	0	0	0	1	0	0	207	74	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-Consent-Bundle-example-1.json	8024	4	5	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	37	18	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-CurrentPolicyStatesForPerson-response-example-1.json	86430	14	9	0	0	0	0	0	5	73	0	0	0	0	0	0	0	1	0	0	413	159	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-example-Batch-provideCD.json	15017	5	4	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	69	29	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-example-Batch-verify-consent-state.json	816	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-example-BatchResponse-provideCD.json	15676	5	2	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	72	29	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-example-BatchResponse-verify-consent-state.json	15684	4	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-BloomfilterTypeCS.json	955	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6	503	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ConsentComponentTypeCS.json	1131	3	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	8	49	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyActionCS.json	12089	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	30	54	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyActorCS.json	3078	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	41	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyClassCS.json	12272	4	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	31	45	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyPurposeCS.json	26682	6	0	0	1	0	0	0	3	15	0	0	0	0	0	0	0	1	0	0	60	94	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-ConsentStatusCS.json	4784	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	35	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DesignationUseCS.json	1038	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	27	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PolicyCS.json	13174	4	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	53	61	0	0	0	0	2	0	0
fsh-generated/resources/Consent-Consent-example-1.json	2437	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	11	0	0	0	0	0	0	0
fsh-generated/resources/Consent-Consent-example-2.json	10330	4	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	93	23	0	0	0	0	0	0	0
fsh-generated/resources/Consent-Consent-example-3.json	13457	4	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	67	25	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-AddConsent.json	4269	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-AddConsentOptOut.json	2686	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-AllConsentsForDomain.json	2477	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-AllConsentsForPerson.json	3135	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-AllConsentsForTemplate.json	2890	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-AllPolicyStatesForPerson.json	3536	2	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-CurrentConsentForPersonAndTemplate.json	3993	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-CurrentPolicyStatesForPerson.json	3758	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-GetAllConsentedIdsFor.json	2443	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-IsConsented.json	2654	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	1	0	0
fsh-generated/resources/Parameters-AllConsentsForDomain-request-example-1.json	268	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0
fsh-generated/resources/Parameters-AllConsentsForPerson-request-example-1.json	360	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0
